page,url,source,issues
https://kraftykinni.in/corporate-art-workshops,https://kraftykinni.in/og-corporate.jpg,meta[og:image/twitter:image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/school-art-workshops,https://kraftykinni.in/summer-school-workshop-students-cambridge-delhi-ncr.webp,meta[og:image/twitter:image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/private-art-workshops,https://kraftykinni.in/lippan-workshop-session.jpeg,meta[og:image/twitter:image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/workshops/wall-rope-art,https://cdn.kraftykinni.in/workshops/wall-rope-art.webp,meta[og:image/twitter:image],BROKEN — HTTP status: 404
https://kraftykinni.in/workshops-in-delhi,https://kraftykinni.in/og-corporate.jpg,meta[og:image/twitter:image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/workshops-in-gurgaon,https://kraftykinni.in/og-corporate.jpg,meta[og:image/twitter:image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/workshops-in-noida,https://kraftykinni.in/og-corporate.jpg,meta[og:image/twitter:image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/employee-engagement-activities-gurgaon,https://kraftykinni.in/og-corporate.jpg,meta[og:image/twitter:image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/about,https://kraftykinni.in/workshops/profile.webp,meta[og:image/twitter:image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/blog,https://kraftykinni.in/logo.jpeg,meta[og:image/twitter:image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/blog/lippan-art-complete-beginners-guide-kutch-mirror-work,https://kraftykinni.in/logo.jpeg,meta[og:image/twitter:image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/blog/lippan-art-complete-beginners-guide-kutch-mirror-work,https://kraftykinni.in/logo.jpeg,jsonld[logo.url],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/blog/lippan-art-complete-beginners-guide-kutch-mirror-work,https://kraftykinni.in/logo.jpeg,jsonld[image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/blog/bottle-lamp-art-workshop-school-delhi-ncr,https://kraftykinni.in/logo.jpeg,meta[og:image/twitter:image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/blog/bottle-lamp-art-workshop-school-delhi-ncr,https://kraftykinni.in/logo.jpeg,jsonld[logo.url],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/blog/bottle-lamp-art-workshop-school-delhi-ncr,https://kraftykinni.in/logo.jpeg,jsonld[image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/blog/best-corporate-team-building-activities-gurgaon-2026,https://kraftykinni.in/logo.jpeg,meta[og:image/twitter:image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/blog/best-corporate-team-building-activities-gurgaon-2026,https://kraftykinni.in/logo.jpeg,jsonld[logo.url],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/blog/best-corporate-team-building-activities-gurgaon-2026,https://kraftykinni.in/logo.jpeg,jsonld[image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/blog/annual-day-activity-ideas-schools-delhi-ncr,https://kraftykinni.in/logo.jpeg,meta[og:image/twitter:image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/blog/annual-day-activity-ideas-schools-delhi-ncr,https://kraftykinni.in/logo.jpeg,jsonld[logo.url],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
https://kraftykinni.in/blog/annual-day-activity-ideas-schools-delhi-ncr,https://kraftykinni.in/logo.jpeg,jsonld[image],NOT_ON_CDN — still served from main domain / relative path; BROKEN — HTTP status: 404
